Babil ayın en çok satan kitapları
['Babil', 'Fahrenheit 451', 15.0, 'İlgili veri yok', 'İthaki Yayınları', 'Ray Bradbury', '2018-08']
['Babil', 'Olağanüstü Bir Gece', 5.6, 'İlgili veri yok', 'İş Bankası Kültür Yayınları', 'Stefan Zweig', '2018-08']
['Babil', '21. Yüzyıl İçin 21 Ders', 22.7, 'İlgili veri yok', 'Kolektif Kitap', 'Yuval Noah Harari', '2018-08']
['Babil', 'Körlük', 19.6, 'İlgili veri yok', 'Kırmızı Kedi Yayınevi', 'Jose Saramago', '2018-08']
['Babil', '67', 12.6, 'İlgili veri yok', 'Hayykitap', 'Oğuzhan Uğur', '2018-08']
['Babil', 'Hayvan Çiftliği', 11.5, 'İlgili veri yok', 'Can Yayınları', 'George Orwell ', '2018-08']
['Babil', 'İkigai', 11.1, 'İlgili veri yok', 'İndigo Kitap', 'Hector Garcia', '2018-08']
['Babil', 'Mutfak Sırları', 21.0, 'İlgili veri yok', 'Domingo Yayınevi', 'Anthony Bourdain', '2018-08']
['Babil', 'BTS - K-Pop Mucizesi', 21.0, 'İlgili veri yok', 'Yakamoz Yayınevi', 'Adrian Besley', '2018-08']
['Babil', 'Ustalık Gerektiren Kafaya Takmama Sanatı', 15.6, 'İlgili veri yok', 'Butik Yayınları', 'Mark Manson', '2018-08']
['Babil', 'Kürk Mantolu Madonna', 8.4, 'İlgili veri yok', 'Yapı Kredi Yayınları', 'Sabahattin Ali', '2018-08']
['Babil', 'Simyacı', 12.9, 'İlgili veri yok', 'Can Yayınları', 'Paulo Coelho', '2018-08']
['Babil', 'Sen Gittin Ya Ben Çok Güzelleştim', 14.9, 'İlgili veri yok', 'Destek Yayınları', 'Nilgün Bodur', '2018-08']
['Babil', 'Fareler ve İnsanlar', 9.0, 'İlgili veri yok', 'Sel Yayıncılık', 'John Steinbeck', '2018-08']
['Babil', 'Küçük Prens', 5.6, 'İlgili veri yok', 'Can Çocuk Yayınları', 'Antoine de Saint-Exupery', '2018-08']
