Idefix ayın en çok satan kitapları
['Idefix', 'Fahrenheit 451 ', 13.0, 'Kitap/Edebiyat/Roman/Bilim Kurgu', 'İthaki Yayınları', 'Ray Bradbury', '2018-08']
['Idefix', '21.Yüzyıl İçin 21 Ders ', 22.75, 'Kitap/Araştırma - Tarih/Tarih/Dünya Tarihi', 'Kolektif Kitap', 'Yuval Noah Harari', '2018-08']
['Idefix', 'Ikigai-Japonların Uzun ve Mutlu Yaşam Sırrı ', 11.1, 'Kitap/Eğitim Başvuru/Kişisel Gelişim', 'İndigo Kitap', 'Hector Garcia ', '2018-08']
['Idefix', 'Ustalık Gerektiren Kafaya Takmama Sanatı ', 15.6, 'Kitap/Eğitim Başvuru/Kişisel Gelişim', 'Butik', 'Mark Manson', '2018-08']
['Idefix', 'Sen Gittin Ya Ben Çok Güzelleştim ', 13.2, 'Kitap/Edebiyat/Roman/Türkiye Roman', 'Destek Yayınları', 'Nilgün Bodur', '2018-08']
['Idefix', 'Değişim Sürecinde Türkiye ', 17.0, 'Kitap/Araştırma - Tarih/Sosyoloji', 'Remzi Kitabevi', 'Mahfi Eğilmez', '2018-08']
['Idefix', 'Seninle Başlamadı ', 23.36, 'Kitap/Eğitim Başvuru/Psikoloji Bilimi', 'Sola Unitas', 'Mark Wolynn', '2018-08']
['Idefix', 'Olağanüstü Bir Gece ', 5.6, 'Kitap/Edebiyat/Roman/Dünya Roman', 'İş Bankası', 'Stefan Zweig', '2018-08']
['Idefix', 'Satranç ', 4.9, 'Kitap/Edebiyat/Roman/Dünya Roman', 'İş Bankası', 'Stefan Zweig', '2018-08']
['Idefix', 'Leyla ile Mecnun ', 15.0, 'Kitap/Edebiyat/Roman/Türkiye Roman', 'Küsurat', 'Burak Aksak', '2018-08']
['Idefix', 'DRBUILDER İle Antrenörün Kendin Ol ', 17.0, 'Kitap/Hobi/Spor ve Sporcular/Sporcular', 'Sokak Kitapları', 'Hakan Bozdemir', '2018-08']
['Idefix', 'Bilinmeyen Bir Kadının Mektubu ', 4.2, 'Kitap/Edebiyat/Roman/Dünya Roman', 'İş Bankası', 'Stefan Zweig', '2018-08']
['Idefix', 'Hayvanlardan Tanrılara-Sapiens ', 23.4, 'Kitap/Araştırma - Tarih/Tarih/Dünya Tarihi', 'Kolektif Kitap', 'Yuval Noah Harari', '2018-08']
['Idefix', 'Mutfak Sırları ', 21.9, 'Kitap/Hobi/Yemek ve Tatlı/Yemek Kitapları', 'Domingo Yayınevi', 'Anthony Bourdain', '2018-08']
['Idefix', 'Amok Koşucusu ', 4.9, 'Kitap/Edebiyat/Roman/Dünya Roman', 'İş Bankası', 'Stefan Zweig', '2018-08']
['Idefix', '1984 ', 19.38, 'Kitap/Edebiyat/Roman/Dünya Roman', 'Can Yayınları', 'George Orwell', '2018-08']
['Idefix', 'Körlük ', 18.2, 'Kitap/Edebiyat/Roman/Dünya Roman', 'Kırmızı Kedi', 'Jose Saramago', '2018-08']
['Idefix', 'Şeker Portakalı ', 12.92, 'Kitap/Edebiyat/Roman/Dünya Roman', 'Can Çocuk Yayınları', 'Jose Mauro De', '2018-08']
['Idefix', 'Yabancı ', 8.84, 'Kitap/Edebiyat/Roman/Dünya Roman', 'Can Yayınları', 'Albert Camus', '2018-08']
['Idefix', 'Altıncı Koğuş ', 4.9, 'Kitap/Edebiyat/Roman/Dünya Klasik', 'İş Bankası', 'Anton Pavloviç', '2018-08']
['Idefix', 'Hayvan Çiftliği ', 11.22, 'Kitap/Edebiyat/Roman/Dünya Roman', 'Can Yayınları', 'George Orwell', '2018-08']
['Idefix', 'Ay Işığı Sokağı ', 4.9, 'Kitap/Edebiyat/Roman/Dünya Roman', 'İş Bankası', 'Stefan Zweig', '2018-08']
['Idefix', 'El Vedud ', 22.8, 'Kitap/Eğitim Başvuru/Kişisel Gelişim', 'Feniks Kitap', 'Tuğçe Işınsu', '2018-08']
['Idefix', 'Sineklerin Tanrısı ', 11.2, 'Kitap/Edebiyat/Roman/Dünya Roman', 'İş Bankası', 'William Golding', '2018-08']
['Idefix', 'Kırlangıç Çığlığı ', 16.5, 'Kitap/Edebiyat/Roman/Polisiye', 'Everest Yayınları', 'Ahmet Ümit', '2018-08']
['Idefix', 'Dönüşüm ', 4.2, 'Kitap/Edebiyat/Roman/Dünya Roman', 'İş Bankası', 'Franz Kafka', '2018-08']
['Idefix', 'Fareler ve İnsanlar ', 8.4, 'Kitap/Edebiyat/Roman/Dünya Klasik', 'Sel Yayıncılık', 'John Steinbeck', '2018-08']
