Kitapyurdu ayın en çok satan kitapları
['Kitapyurdu', 'Fahrenheit 451', 10.0, 'İlgili veri yok', 'İTHAKİ YAYINLARI', ' Ray Bradbury', '2018-08']
['Kitapyurdu', 'El Vedud', 18.23, 'İlgili veri yok', 'FENİKS KİTAP', ' Tuğçe Işınsu', '2018-08']
['Kitapyurdu', 'Körlük', 14.0, 'İlgili veri yok', 'KIRMIZI KEDİ YAYINEVİ', ' Jose Saramago', '2018-08']
['Kitapyurdu', 'IKIGAI & Japonların Uzun ve Mutlu Yaşam Sırrı', 11.1, 'İlgili veri yok', 'İNDİGO KİTAP', ' Francesc Miralles', '2018-08']
['Kitapyurdu', ' Hector Garcia ', 5.18, 'İlgili veri yok', 'Olağanüstü Bir Gece', 'TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI', '2018-08']
['Kitapyurdu', 'Gazi Mustafa Kemal Atatürk', 15.6, 'İlgili veri yok', 'KRONİK KİTAP', 'Prof. Dr. İlber Ortaylı', '2018-08']
['Kitapyurdu', '1984', 18.51, 'İlgili veri yok', 'CAN YAYINLARI', ' George Orwell', '2018-08']
['Kitapyurdu', '67', 9.72, 'İlgili veri yok', 'HAYY KİTAP', ' Oğuzhan Uğur', '2018-08']
['Kitapyurdu', 'Hayvan Çiftliği (Ciltsiz)', 10.72, 'İlgili veri yok', 'CAN YAYINLARI', ' George Orwell', '2018-08']
['Kitapyurdu', 'Sen Gittin Ya Ben Çok Güzelleştim', 12.42, 'İlgili veri yok', 'DESTEK YAYINLARI', ' Nilgün Bodur', '2018-08']
['Kitapyurdu', 'Bilinmeyen Bir Kadının Mektubu (Karton Kapak)', 3.89, 'İlgili veri yok', 'TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI', ' Stefan Zweig', '2018-08']
['Kitapyurdu', 'Şeker Portakalı (Ciltsiz)', 12.34, 'İlgili veri yok', 'CAN YAYINLARI', ' Jose Mauro De Vasconcelos', '2018-08']
['Kitapyurdu', 'Ustalık Gerektiren Kafaya Takmama Sanatı', 15.59, 'İlgili veri yok', 'BUTİK YAYINCILIK  ', ' Mark Manson', '2018-08']
['Kitapyurdu', 'Momo', 14.56, 'İlgili veri yok', 'PEGASUS YAYINLARI', ' Michael Ende', '2018-08']
['Kitapyurdu', 'Simyacı (Ciltsiz)', 12.01, 'İlgili veri yok', 'CAN YAYINLARI', ' Paulo Coelho', '2018-08']
['Kitapyurdu', 'Bağırmayan Anneler', 12.15, 'İlgili veri yok', 'HAYY KİTAP', ' Hatice Kübra Tongar', '2018-08']
['Kitapyurdu', 'Satranç (Karton Kapak)', 4.54, 'İlgili veri yok', 'TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI', ' Stefan Zweig', '2018-08']
['Kitapyurdu', 'Pembe Fili Düşünme', 15.39, 'İlgili veri yok', 'İNKILAP KİTABEVİ', ' Zeynep Selvili Çarmıklı', '2018-08']
['Kitapyurdu', 'Bir İdam Mahkumunun Son Günü (Karton Kapak)', 6.49, 'İlgili veri yok', 'TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI', ' Victor Hugo', '2018-08']
['Kitapyurdu', 'Leyla İle Mecnun', 14.99, 'İlgili veri yok', 'KÜSURAT YAYINLARI', ' Burak  Aksak', '2018-08']
